;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.25;8.5097908416;0.13495334891;2.06855162189;0.0294785217809;132.411742426;23.0
1;0.396;9.68317807259;0.114832290251;2.13843851395;0.0265153597714;118.555814132;21.0
2;0.498;10.4695517125;0.16262924964;2.53035375395;0.0453628039612;108.301303988;15.0
3;0.554;10.9042523053;0.267782885179;2.67703984964;0.0776706809517;106.710087794;14.0
4;0.62;10.9696066324;0.272678919307;3.06971846892;0.091284219137;109.058602452;11.0
5;0.629;10.7380574127;0.185781313167;3.20424410384;0.0657097447008;109.609879895;10.0
6;0.76;10.3634925552;0.262155576474;5.82798540528;0.225810584296;120.108343528;3.0
7;-9999;-9999;-9999;-9999;-9999;-9999;-9999
8;-9999;-9999;-9999;-9999;-9999;-9999;-9999
9;-9999;-9999;-9999;-9999;-9999;-9999;-9999
10;-9999;-9999;-9999;-9999;-9999;-9999;-9999
11;2.062;5.53964943865;0.0;9.92993342752;-9999;144.389214612;1.0
12;-9999;-9999;-9999;-9999;-9999;-9999;-9999
13;-9999;-9999;-9999;-9999;-9999;-9999;-9999
14;-9999;-9999;-9999;-9999;-9999;-9999;-9999
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
