estacion;fecha;hora utc;temp;plafond;visibilidad;nubosidad;direccion;intensidad;tempd;presion_estacion;presion_mar;tendencia_p;forma_tendencia;tiempo_presente;primer_tiempo_pasado;segundo_tiempo_pasado;grado_nubes_bajas;f_nubes_bajas;f_nubes_altas;f_nubes_medias;pp
87374;13/01/2016;0;21.6;9;65;6;9;4;18.6;997.7;1006.2;11;2;2;9;2;2;0;6;7;3
87374;13/01/2016;1;21.1;9;65;0;0;0;18.7;998.4;1006.9;17;2;;;;;;;;
87374;13/01/2016;2;21.4;9;65;0;23;4;18.1;1000.2;1008.7;36;2;;;;;;;;
87374;13/01/2016;3;20.8;9;65;0;18;3;17.9;1001.4;1010;37;2;;;;;;;;
87374;13/01/2016;4;20.6;9;65;0;18;2;18.1;1001.8;1010.4;35;2;;;;;;;;
87374;13/01/2016;5;20.5;9;65;0;18;3;18.3;1001.8;1010.3;16;1;;;;;;;;
87374;13/01/2016;6;20.4;9;65;0;18;4;18;1001.3;1009.9;1;8;;;;;;;;
87374;13/01/2016;7;20.2;9;65;0;18;3;18.1;1001.3;1009.9;5;6;;;;;;;;
87374;13/01/2016;8;20.1;9;65;0;18;2;18.2;1001.4;1010;4;5;;;;;;;;
87374;13/01/2016;9;19.8;9;65;0;14;2;18.4;1001.8;1010.5;5;2;;;;;;;;
87374;13/01/2016;10;21.4;9;65;3;18;3;18.7;1002.6;1011.3;13;2;;;;0;0;5;0;
87374;13/01/2016;11;23.2;9;65;5;18;3;20.1;1003.2;1011.8;17;2;;;;2;0;6;5;
87374;13/01/2016;12;25;9;65;5;14;5;20;1004.2;1012.8;24;2;;;;2;0;6;5;
87374;13/01/2016;13;26.1;5;65;6;14;8;19.5;1004.6;1013.2;20;2;;;;1;1;6;5;
87374;13/01/2016;14;27.4;5;65;6;14;5;19.8;1004.5;1013.1;13;0;;;;1;1;6;5;
87374;13/01/2016;15;29.2;5;65;7;14;6;18.6;1004.2;1012.8;0;0;;;;1;1;6;5;
87374;13/01/2016;16;30.1;5;65;7;14;8;19.4;1003.8;1012.3;8;7;;;;1;1;6;5;
87374;13/01/2016;17;31;5;65;7;18;8;18.1;1003.6;1012.1;9;7;;;;1;1;6;5;
87374;13/01/2016;18;30.2;5;65;6;16;3;20.2;1003.4;1012;8;7;;;;1;1;6;5;
87374;13/01/2016;19;31.2;5;65;7;18;6;21.5;1003.2;1011.7;7;7;;;;1;1;6;5;
87374;13/01/2016;20;29.4;5;65;7;20;10;21.3;1003;1011.6;5;7;;;;1;1;6;5;
87374;13/01/2016;21;27.7;5;65;7;20;9;19.3;1002.6;1011.3;8;7;;;;1;1;6;5;
87374;13/01/2016;22;27;9;65;7;18;8;19.7;1002.6;1011.1;5;7;;;;3;0;6;5;
87374;13/01/2016;23;26;9;65;7;18;4;19.4;1003;1011.6;0;4;;;;0;0;8;0;
87374;14/01/2016;0;24.4;9;65;7;18;4;21.1;1003.4;1012;8;3;;;;0;0;8;0;
87374;14/01/2016;1;23.9;9;65;7;18;3;21.5;1003.8;1012.4;12;2;;;;0;0;8;0;
87374;14/01/2016;2;23.4;9;65;8;18;4;21.8;1004.2;1012.8;12;2;;;;0;0;7;0;
87374;14/01/2016;3;23.2;9;65;6;14;3;21.6;1004.2;1012.7;8;1;;;;0;0;8;0;
87374;14/01/2016;4;22.9;9;65;4;14;2;20.6;1003.8;1012.4;0;4;;;;0;0;6;0;
87374;14/01/2016;5;22.4;9;65;1;0;0;20.3;1003.8;1012.3;4;6;;;;0;0;1;0;
87374;14/01/2016;6;22.3;9;65;0;36;3;18.7;1003.3;1011.8;9;8;;;;;;;;
87374;14/01/2016;7;21.7;9;65;0;36;3;17.7;1003.3;1011.8;5;6;;;;;;;;
87374;14/01/2016;8;21.5;9;65;0;5;6;17;1003.4;1011.9;4;5;;;;;;;;
