p ht di spd
994 191 160 13
966 441 135 17
950 587 121 19
939 689 111 20
933 745 105 21
926 811 109 21
925 820 110 21
911 951 115 20
850 1543 140 17
842 1623 141 17
822 1825 145 16
807 1980 142 15
781 2253 136 12
760 2479 131 10
733 2777 125 7
728 2833 115 6
700 3153 55 2
690 3270 72 2
654 3702 133 3
601 4365 230 5
520 5500 275 21
504 5739 285 25
500 5800 285 27
478 6143 285 35
465 6351 285 39
451 6581 285 44
418 7144 285 57
400 7470 285 59
386 7731 287 60
359 8256 290 63
348 8481 295 58
320 9074 310 45
300 9530 305 59
294 9670 306 62
281 9981 307 68
250 10770 310 84
229 11344 316 94
200 12210 325 109
185 12704 320 111
183 12773 320 111
154 13855 290 72
150 14020 290 67
141 14406 300 46
138 14540 307 47
137 14586 310 47
127 15059 295 59
120 15414 320 37
119 15466 323 37
114 15729 340 38
103 16351 323 47
101 16470 320 49
100 16530 315 46
92 17040 300 31
91.6 17067 303 30
87 17379 335 19
83 17664 345 23
77.6 18071 302 17
75 18276 280 14
70 18690 325 12
68 18864 330 7
67 18953 326 9
61 19518 300 24
60.4 19578 316 18
59.8 19639 333 11
59 19721 355 3
52.7 20415 19 22
50 20740 30 31
48 20996 0 21
46.9 21142 0 17
43 21687 0 0
39.9 22158 61 13
38 22464 100 22
35 22980 60 22
32 23542 65 18
31.7 23601 71 20
31 23742 85 25
30 23950 75 30
29 24168 70 34
28.2 24348 54 25
28 24394 50 23
26 24874 95 14
24 25393 110 23
23 25669 75 30
21.7 26047 88 27
21 26261 95 26
20 26580 85 20
19 26919 95 16
18.8 26989 95 17
17 27660 100 24
16 28064 85 23
15 28495 110 23
13.2 29347 93 26
12 29996 80 28
11 30588 90 36
10.8 30713 860 861.9
