;ht;spd;rmse1;rmse2;rmse3;di;rings
0;0.1;-9999;-9999;-9999;-9999;-9999;-9999
1;0.2;8.31376134773;0.0371644897533;0.314513414603;0.011656679194;140.616490651;12.0
2;0.3;8.59869921954;0.0271599029372;0.278414046045;0.0072749193651;135.639516895;19.0
3;0.4;8.59624288302;0.019937324603;0.27826415495;0.0049267993606;127.653244947;18.0
4;0.5;8.72216620178;0.0336343616731;0.387032861797;0.0121995295987;111.274649788;10.0
5;0.6;9.4637537527;0.0230335579277;0.37742719868;0.00881063859728;98.2121678299;9.0
6;0.7;9.91237800169;0.00336412235883;0.932241782306;0.00474886388043;94.6529019701;2.0
7;0.8;-9999;-9999;-9999;-9999;-9999;-9999
8;0.9;-9999;-9999;-9999;-9999;-9999;-9999
9;1.0;-9999;-9999;-9999;-9999;-9999;-9999
10;1.1;-9999;-9999;-9999;-9999;-9999;-9999
11;1.2;-9999;-9999;-9999;-9999;-9999;-9999
12;1.3;-9999;-9999;-9999;-9999;-9999;-9999
13;1.4;-9999;-9999;-9999;-9999;-9999;-9999
14;1.5;-9999;-9999;-9999;-9999;-9999;-9999
15;1.6;-9999;-9999;-9999;-9999;-9999;-9999
16;1.7;-9999;-9999;-9999;-9999;-9999;-9999
17;1.8;-9999;-9999;-9999;-9999;-9999;-9999
18;1.9;-9999;-9999;-9999;-9999;-9999;-9999
19;2.0;-9999;-9999;-9999;-9999;-9999;-9999
20;2.1;-9999;-9999;-9999;-9999;-9999;-9999
21;2.2;-9999;-9999;-9999;-9999;-9999;-9999
22;2.3;-9999;-9999;-9999;-9999;-9999;-9999
23;2.4;-9999;-9999;-9999;-9999;-9999;-9999
24;2.5;-9999;-9999;-9999;-9999;-9999;-9999
25;2.6;-9999;-9999;-9999;-9999;-9999;-9999
26;2.7;-9999;-9999;-9999;-9999;-9999;-9999
27;2.8;-9999;-9999;-9999;-9999;-9999;-9999
28;2.9;-9999;-9999;-9999;-9999;-9999;-9999
