;ht;spd;rmse1;rmse2;rmse3;di;rings
0;0.1;12.0276894511;0.237843347609;0.429005605032;0.0491540432154;44.0954958201;28.0
1;0.2;14.9868139728;0.205466373385;0.301882511206;0.0372273476214;40.8347375845;31.0
2;0.3;16.4058794813;0.0458614216686;0.256078779191;0.00850525634063;38.4861555157;30.0
3;0.4;14.9211759874;0.0952080436919;0.272860742633;0.0180064748589;38.1898144658;30.0
4;0.5;12.9356342491;0.109315282654;0.300170674268;0.021367476354;37.5206969332;30.0
5;0.6;11.299680768;0.150599578443;0.312065942379;0.0293905735428;35.6212410523;30.0
6;0.7;10.1016612653;0.195996121703;0.337282321848;0.0409444143972;35.01098015;26.0
7;0.8;9.11349399019;0.196299873603;0.354152765617;0.0391841914837;35.2795241197;27.0
8;0.9;8.18602162864;0.128130081293;0.35851642198;0.0242390814903;35.6533894037;29.0
9;1.0;7.70547333208;0.131137673521;0.422724150624;0.0298929824275;35.2783209171;21.0
10;1.1;6.94778580539;0.0875247131414;0.499709463077;0.0220284492603;33.1510293306;17.0
11;1.2;6.2684840963;0.185469343623;0.845953404306;0.0894308134564;32.0827862607;6.0
12;1.3;6.10376230094;0.00485863444256;0.883186031376;0.00269037470911;35.7285472723;5.0
13;1.4;5.77992117773;0.00341227017514;1.09236215212;0.00296163187254;40.5667683433;3.0
14;1.5;-9999;-9999;-9999;-9999;-9999;-9999
15;1.6;-9999;-9999;-9999;-9999;-9999;-9999
16;1.7;-9999;-9999;-9999;-9999;-9999;-9999
17;1.8;-9999;-9999;-9999;-9999;-9999;-9999
18;1.9;-9999;-9999;-9999;-9999;-9999;-9999
19;2.0;-9999;-9999;-9999;-9999;-9999;-9999
20;2.1;-9999;-9999;-9999;-9999;-9999;-9999
21;2.2;-9999;-9999;-9999;-9999;-9999;-9999
22;2.3;-9999;-9999;-9999;-9999;-9999;-9999
23;2.4;-9999;-9999;-9999;-9999;-9999;-9999
24;2.5;-9999;-9999;-9999;-9999;-9999;-9999
25;2.6;-9999;-9999;-9999;-9999;-9999;-9999
26;2.7;-9999;-9999;-9999;-9999;-9999;-9999
27;2.8;-9999;-9999;-9999;-9999;-9999;-9999
28;2.9;-9999;-9999;-9999;-9999;-9999;-9999
