;ht;spd;rmse;rmse2;rmse3;di;rings
0;0.25;8.95369633378;0.00763929712024;5.45464940693e-08;0.00155075525447;131.165570832;26.0
1;0.396;9.91189848681;0.0039894476498;6.67408022579e-08;0.000848980476017;117.598243211;24.0
2;0.498;10.5544132203;0.00961179732464;6.73001016566e-08;0.00201740893615;108.030619586;25.0
3;0.554;10.7791175856;0.000404993124135;6.76236320116e-08;8.41928155306e-05;107.282180038;24.0
4;0.62;10.6967721538;0.00182365074938;7.08906740795e-08;0.000392327622817;110.616617256;23.0
5;0.629;10.6655474567;0.00230625884319;7.12252405533e-08;0.000488868467889;111.077430644;23.0
6;0.76;10.1778730654;0.00233121818428;7.25869290632e-08;0.000508461385915;115.97701233;23.0
7;1.352;8.74601167705;5.72403928368e-06;5.38727419769e-08;1.20942959375e-06;140.306419864;24.0
8;1.432;8.66382644194;0.000947941978285;5.43454594529e-08;0.000205961481832;141.548364279;23.0
9;1.634;8.1179422878;0.00189804605708;4.9974233474e-08;0.000405271588426;144.335247605;24.0
10;1.789;7.53968677819;0.00547257886564;6.58444052483e-08;0.00166319064431;141.469100884;13.0
11;2.062;6.04209713783;0.00410266353414;6.02874461296e-08;0.00123584232049;135.482414548;13.0
12;2.288;4.97874402149;0.00589899758087;4.05115276335e-08;0.00169751460656;130.568807789;14.0
13;2.586;3.32307930113;0.0209004336043;3.50792304862e-08;0.00875580988323;120.319442899;8.0
14;2.642;2.82716254957;0.011473973824;3.67905384865e-08;0.0055091088335;113.217142098;6.0
15;2.962;1.02231163395;1.22081057552e-05;9.86137973725e-09;5.48271887239e-06;60.2800592593;7.0
