;ht;spd;rmse;rmse2;rmse3;di;rings
0;-9999;-9999;-9999;-9999;-9999;-9999;-9999
1;-9999;-9999;-9999;-9999;-9999;-9999;-9999
2;0.3;3.38855310318;0.0;0.786123579246;-9999;282.211568229;1.0
3;0.4;3.54493855992;0.00178382930229;0.537850016331;0.00251940006635;279.950383241;2.0
4;-9999;-9999;-9999;-9999;-9999;-9999;-9999
5;0.6;4.0371036603;0.0;0.746192663714;-9999;283.024370772;1.0
6;0.7;4.73684342964;0.00558458586852;0.618965114719;0.00789546741061;285.9567136;2.0
7;0.8;5.02483536322;0.0312783606195;0.348604104997;0.0160941843436;286.922667118;6.0
8;0.9;5.2563935346;0.00393838574611;0.434277419948;0.00261250118593;288.913787512;4.0
9;1.0;5.33979861233;0.00348218807852;0.349511636895;0.00169439725827;291.623199152;6.0
10;1.1;5.11847263333;0.000876284542158;0.371903130992;0.000500717321335;297.397006539;5.0
11;1.2;5.13932003735;0.0240094467421;0.335037426388;0.00982431455906;305.736207435;7.0
12;1.3;4.93232932224;0.0567786894554;0.376573363121;0.0264555605984;313.442945206;6.0
13;1.4;4.99364725498;0.162895592408;0.46659171393;0.100951795954;317.683245795;4.0
14;1.5;4.76966798303;0.00308389015947;0.799036648108;0.00433753648854;324.607161188;2.0
15;-9999;-9999;-9999;-9999;-9999;-9999;-9999
16;-9999;-9999;-9999;-9999;-9999;-9999;-9999
17;-9999;-9999;-9999;-9999;-9999;-9999;-9999
18;-9999;-9999;-9999;-9999;-9999;-9999;-9999
19;-9999;-9999;-9999;-9999;-9999;-9999;-9999
20;-9999;-9999;-9999;-9999;-9999;-9999;-9999
21;-9999;-9999;-9999;-9999;-9999;-9999;-9999
22;-9999;-9999;-9999;-9999;-9999;-9999;-9999
23;-9999;-9999;-9999;-9999;-9999;-9999;-9999
24;-9999;-9999;-9999;-9999;-9999;-9999;-9999
25;-9999;-9999;-9999;-9999;-9999;-9999;-9999
26;-9999;-9999;-9999;-9999;-9999;-9999;-9999
27;-9999;-9999;-9999;-9999;-9999;-9999;-9999
28;-9999;-9999;-9999;-9999;-9999;-9999;-9999
